"
                    Code
                ","
                    Title
                ","
                    Study As
                ","
                    Career
                ","
                    ATAR
                ","
                    Years
                ","
                    Delivery
                "
8650XMPHIL,"Master of Philosophy, Mathematical Sciences Institute",Single,Research,-,2,In Person
8350XMPHIL,"Master of Philosophy, National Centre for Indigenous Studies",Single,Research,-,2,In Person
8850XMPHIL,"Master of Philosophy, National Security College",Single,Research,-,2,In Person
8723XMPHIL,"Master of Philosophy, Psychology",Single,Research,-,2,In Person
8560XMPHIL,"Master of Philosophy, Regulation and Governance",Single,Research,-,2,In Person
8670XMPHIL,"Master of Philosophy, Research School of Astronomy and Astrophysics",Single,Research,-,2,In Person
8066XMPHIL,"Master of Philosophy, Research School of Biology",Single,Research,-,2,In Person
8620XMPHIL,"Master of Philosophy, Research School of Chemistry",Single,Research,-,2,In Person
8640XMPHIL,"Master of Philosophy, Research School of Earth Sciences",Single,Research,-,2,In Person
8551XMPHIL,"Master of Philosophy, Research School of Humanities and the Arts",Single,Research,-,2,In Person
8680XMPHIL,"Master of Philosophy, Research School of Physics and Engineering",Single,Research,-,2,In Person
8601XMPHIL,"Master of Philosophy, Research School of Population Health",Single,Research,-,2,In Person
8520XMPHIL,"Master of Philosophy, Research School of Social Sciences",Single,Research,-,2,In Person
MPLSC,Master of Political Science,Vertical,Postgraduate,-,2,In Person
VPLSC,Master of Political Science (Advanced),Single,Postgraduate,-,2,In Person
7413XMPACC,Master of Professional Accounting,Single,Postgraduate,-,1.5,In Person
MPROM,Master of Project Management,Single,Postgraduate,-,2,In Person
VPROM,Master of Project Management (Advanced),Single,Postgraduate,-,2,In Person
MPUAD,Master of Public Administration,Single,Postgraduate,-,2,In Person
MPUBH,Master of Public Health,Vertical,Postgraduate,-,2,In Person
VPUBH,Master of Public Health (Advanced),Single,Postgraduate,-,2,Multi-Modal
MPUPP,Master of Public Policy,Vertical,Postgraduate,-,2,In Person
MPPAU,Master of Public Policy/Master of Public Policy ANU - U Tokyo,Single,Postgraduate,-,2,In Person
MPPUT,Master of Public Policy/Master of Public Policy ANU-U Tokyo,Single,Postgraduate,-,2,In Person
VSCBS,Master of Science (Advanced) in Biological Sciences,Single,Postgraduate,-,2,In Person
VSCQB,Master of Science (Advanced) in Quantitative Biology and Bioinformatics,Single,Postgraduate,-,2,In Person
MSCOM,Master of Science Communication,Single,Postgraduate,-,2,Multi-Modal
7624XMSCO,Master of Science Communication Outreach,Single,Postgraduate,-,1,In Person
NSCBS,Master of Science in Biological Sciences,Vertical,Postgraduate,-,2,In Person
NSCQB,Master of Science in Quantitative Biology and Bioinformatics,Vertical,Postgraduate,-,2,In Person
MSCAU,Master of Science in Science Communication,Single,Postgraduate,-,1,In Person
MSRES,Master of Social Research,Single,Postgraduate,-,2,In Person
VSRES,Master of Social Research (Advanced),Single,Postgraduate,-,2,In Person
MSTAT,Master of Statistics,Single,Postgraduate,-,2,In Person
MSTST,Master of Strategic Studies,Vertical,Postgraduate,-,2,In Person
VSTST,Master of Strategic Studies (Advanced),Single,Postgraduate,-,2,In Person
MSTUD,Master of Studies,Single,Postgraduate,-,2,In Person
VSTUD,Master of Studies (Advanced),Single,Postgraduate,-,2,In Person
MTRAN,Master of Translation,Vertical,Postgraduate,-,2,In Person
VTRAN,Master of Translation (Advanced),Single,Postgraduate,-,2,In Person
MVISA,Master of Visual Arts,Single,Postgraduate,-,2,In Person
VVISA,Master of Visual Arts (Advanced),Single,Postgraduate,-,2,In Person
1140XNAWD,Non Award (ANU College of Business and Economics),Single,Non-award,-,,In Person
1302XNAWD,Non Award Cross Institutional,Single,Non-award,-,,In Person
1141XNAWD,Non Award Cross-Institutional (ANU College of Business and Economics),Single,Non-award,-,,In Person
1301XNAWD,Non Award Exchange Program (12 Months),Single,Non-award,-,1,In Person
1301XNAWD6,Non Award Exchange Program (6 Months),Single,Non-award,-,0.5,In Person
1150XNAWD,Non-Award (ANU College of Asia and the Pacific),Single,Non-award,-,,In Person
1170XNAWD,Non-Award (ANU College of Engineering and Computer Science),Single,Non-award,-,,In Person
1160XNAWD,Non-Award (ANU Colleges of Science),Single,Non-award,-,,In Person
1190XNAWD,Non-Award (ANU Medical School),Single,Non-award,-,,In Person
1110XNAWD,Non-Award Arts (ANU College of Arts and Social Sciences),Single,Non-award,-,,In Person
1111XNAWD,Non-Award Cross-Institutional (ANU College of Arts and Social Sciences),Single,Non-award,-,,In Person
1151XNAWD,Non-Award Cross-Institutional (ANU College of Asia and the Pacific),Single,Non-award,-,,In Person
1171XNAWD,Non-Award Cross-Institutional (ANU College of Engineering and Computer Science),Single,Non-award,-,,In Person
1131XNAWD,Non-Award Cross-Institutional (ANU College of Law),Single,Non-award,-,,In Person
1161XNAWD,Non-Award Cross-Institutional (ANU Colleges of Science),Single,Non-award,-,,In Person
1005XNAWD,Non-Award Cross-Institutional National Institute of the Arts/University of Canberra,Single,Non-award,-,,In Person
1130XNAWD,Non-Award Law (ANU College of Law),Single,Non-award,-,,In Person
1303XNAWD,Non-Award MOOC Exchange,Single,Non-award,-,1,In Person
1300XNAW12,Non-Award Study Abroad Program (12 Months),Single,Non-award,-,1,In Person
1300XNAWD6,Non-Award Study Abroad Program (6 Months),Single,Non-award,-,,In Person
1007XACHVE,ANU Achieve,Single,Non-award,-,0.5,In Person
1007XACTVT,ANU Activate,Single,Non-award,-,0.5,In Person
1007XADVNC,ANU Advanced,Single,Non-award,-,0.5,In Person
1003XEXPRS,ANU Express,Single,Non-award,75,0.5,In Person
1006XSRS,ANU Summer Research Scholarship Program,Single,Non-award,-,1,In Person
BACCT,Bachelor of Accounting,Flexible,Undergraduate,86,3,In Person
HACCT,Bachelor of Accounting (Honours),Single,Undergraduate,-,1,In Person
BACTS,Bachelor of Actuarial Studies,Flexible,Undergraduate,95,3,In Person
HACTS,Bachelor of Actuarial Studies (Honours),Single,Undergraduate,-,1,In Person
AACOM,Bachelor of Advanced Computing (Honours),Flexible,Undergraduate,90,4,In Person
AACRD,Bachelor of Advanced Computing (Research and Development) (Honours),Flexible,Undergraduate,99,4,In Person
BADAN,Bachelor of Applied Data Analytics,Flexible,Undergraduate,95,3,In Person
HADAN,Bachelor of Applied Data Analytics (Honours),Single,Undergraduate,-,1,In Person
BAPRC,Bachelor of Archaeological Practice,Flexible,Undergraduate,80,3,In Person
HAPRC,Bachelor of Archaeological Practice (Honours),Single,Undergraduate,-,1,In Person
BAHCR,Bachelor of Art History and Curatorship,Flexible,Undergraduate,80,3,In Person
HAHCR,Bachelor of Art History and Curatorship (Honours),Single,Undergraduate,-,1,In Person
BARTS,Bachelor of Arts,Flexible,Undergraduate,80,3,In Person
HART2,Bachelor of Arts (Honours),Single,Undergraduate,-,1,In Person
HARTS,Bachelor of Arts (Honours),Single,Undergraduate,-,1,In Person
BASIA,Bachelor of Asian Studies,Flexible,Undergraduate,80,3,In Person
HASIA,Bachelor of Asian Studies (Honours),Single,Undergraduate,-,1,In Person
BAPYA,Bachelor of Asia-Pacific Studies (Year in Asia),Single,Undergraduate,-,4,In Person
BBIOT,Bachelor of Biotechnology,Flexible,Undergraduate,80,3,In Person
HBIOT,Bachelor of Biotechnology (Honours),Single,Undergraduate,-,1,In Person
BBUSA,Bachelor of Business Administration,Flexible,Undergraduate,82,3,In Person
HBUSA,Bachelor of Business Administration (Honours),Single,Undergraduate,-,1,In Person
BCLAS,Bachelor of Classical Studies,Flexible,Undergraduate,80,3,In Person
HCLAS,Bachelor of Classical Studies (Honours),Single,Undergraduate,-,1,In Person
BCOMM,Bachelor of Commerce,Flexible,Undergraduate,82,3,In Person
HCOMM,Bachelor of Commerce (Honours),Single,Undergraduate,-,1,In Person
BCRIM,Bachelor of Criminology,Flexible,Undergraduate,80,3,In Person
HCRIM,Bachelor of Criminology (Honours),Single,Undergraduate,-,1,In Person
BDESN,Bachelor of Design,Flexible,Undergraduate,-,3,In Person
HDESA,Bachelor of Design Arts (Honours),Single,Undergraduate,-,1,In Person
BDEVS,Bachelor of Development Studies,Flexible,Undergraduate,80,3,In Person
HDEVS,Bachelor of Development Studies (Honours),Single,Undergraduate,-,1,In Person
BECON,Bachelor of Economics,Flexible,Undergraduate,86,3,In Person
HECON,Bachelor of Economics (Honours),Single,Undergraduate,-,1,In Person
AENGI,Bachelor of Engineering (Honours),Flexible,Undergraduate,90,4,In Person
AENRD,Bachelor of Engineering (Research and Development) (Honours),Flexible,Undergraduate,99,4,In Person
BENSU,Bachelor of Environment and Sustainability,Flexible,Undergraduate,80,3,In Person
HENSU,Bachelor of Environment and Sustainability (Honours),Single,Undergraduate,-,1,In Person
AENSU,Bachelor of Environment and Sustainability Advanced (Honours),Single,Undergraduate,95,4,In Person
HENVS,Bachelor of Environmental Studies (Honours),Single,Undergraduate,-,1,In Person
BEURO,Bachelor of European Studies,Flexible,Undergraduate,80,3,In Person
HEURO,Bachelor of European Studies (Honours),Single,Undergraduate,-,1,In Person
BFINN,Bachelor of Finance,Flexible,Undergraduate,86,3,In Person
HFINN,Bachelor of Finance (Honours),Single,Undergraduate,-,1,In Person
AFEST,"Bachelor of Finance, Economics and Statistics (Honours)",Single,Undergraduate,99,4,In Person
BGENE,Bachelor of Genetics,Flexible,Undergraduate,90,3,In Person
HGENE,Bachelor of Genetics (Honours),Single,Undergraduate,-,1,In Person
BHLTH,Bachelor of Health Science,Vertical,Undergraduate,90,3,In Person
BIT,Bachelor of Information Technology,Flexible,Undergraduate,80,3,In Person
HIT,Bachelor of Information Technology (Honours),Single,Undergraduate,-,1,In Person
BINBS,Bachelor of International Business,Single,Undergraduate,86,3,In Person
HINBS,Bachelor of International Business (Honours),Single,Undergraduate,-,1,In Person
BIR,Bachelor of International Relations,Flexible,Undergraduate,90,3,In Person
HIR,Bachelor of International Relations (Honours),Single,Undergraduate,-,1,In Person
BINSS,Bachelor of International Security Studies,Flexible,Undergraduate,90,3,In Person
HINSS,Bachelor of International Security Studies (Honours),Single,Undergraduate,-,1,In Person
BLANG,Bachelor of Languages,Flexible,Undergraduate,80,3,In Person
HLANG,Bachelor of Languages (Honours),Single,Undergraduate,-,1,In Person
HLAMS,Bachelor of Latin American Studies (Honours),Single,Undergraduate,-,1,In Person
ALLB,Bachelor of Laws (Honours),Flexible,Undergraduate,98,4,In Person
BMASC,Bachelor of Mathematical Sciences,Flexible,Undergraduate,95,3,In Person
HMASC,Bachelor of Mathematical Sciences (Honours),Single,Undergraduate,-,1,In Person
BMEDS,Bachelor of Medical Science,Flexible,Undergraduate,90,3,In Person
HMDSA,Bachelor of Medical Science (Honours),Single,Undergraduate,-,1,In Person
HMEDS,Bachelor of Medical Science (Honours),Single,Undergraduate,-,1,In Person
BMECA,Bachelor of Middle Eastern and Central Asian Studies,Flexible,Undergraduate,80,3,In Person
HMECA,Bachelor of Middle Eastern and Central Asian Studies (Honours),Single,Undergraduate,-,1,In Person
BMUSI,Bachelor of Music,Flexible,Undergraduate,80,3,In Person
HMUSI,Bachelor of Music (Honours),Single,Undergraduate,-,1,In Person
BPAST,Bachelor of Pacific Studies,Flexible,Undergraduate,80,3,In Person
APHAR,Bachelor of Philosophy (Honours) - Arts and Social Science,Single,Undergraduate,99,4,In Person
APASP,Bachelor of Philosophy (Honours) - Asia and the Pacific,Single,Undergraduate,99,4,In Person
APHSC,Bachelor of Philosophy (Honours) - Science,Single,Undergraduate,99,4,In Person
APNAR,Bachelor of Philosophy (Honours) / Bachelor of  Arts (Honours),Single,Undergraduate,99,4,In Person
APNSC,Bachelor of Philosophy (Honours) / Bachelor of Science (Honours) - ANU as home institution,Single,Undergraduate,99,4,In Person
APNSN,Bachelor of Philosophy (Honours) / Bachelor of Science (Honours) - NUS as home institution,Single,Undergraduate,99,4,In Person
BPOLS,Bachelor of Policy Studies,Flexible,Undergraduate,80,3,In Person
HPOLS,Bachelor of Policy Studies (Honours),Single,Undergraduate,-,1,In Person
BPLSC,Bachelor of Political Science,Flexible,Undergraduate,90,3,In Person
HPLSC,Bachelor of Political Science (Honours),Single,Undergraduate,-,1,In Person
BPPE,"Bachelor of Politics, Philosophy and Economics",Flexible,Undergraduate,96,3,In Person
HPPE,"Bachelor of Politics, Philosophy and Economics (Honours)",Single,Undergraduate,-,1,In Person
APSYC,Bachelor of Psychology (Honours),Single,Undergraduate,95,4,In Person
BSC,Bachelor of Science,Flexible,Undergraduate,80,3,In Person
ASCAD,Bachelor of Science (Advanced) (Honours),Single,Undergraduate,95,4,In Person
HSC,Bachelor of Science (Honours),Single,Undergraduate,-,1,In Person
BSPSY,Bachelor of Science (Psychology),Flexible,Undergraduate,80,3,In Person
HSPSY,Bachelor of Science (Psychology) (Honours),Single,Undergraduate,-,1,In Person
ASSAE,Bachelor of Social Sciences (Honours in Actuarial Studies and Economics),Single,Undergraduate,95,4,In Person
ASENG,Bachelor of Software Engineering (Honours),Flexible,Undergraduate,87,4,In Person
BSTAT,Bachelor of Statistics,Flexible,Undergraduate,86,3,In Person
HSTAT,Bachelor of Statistics (Honours),Single,Undergraduate,-,1,In Person
BSTUD,Bachelor of Studies,Single,Undergraduate,80,3,In Person
BVART,Bachelor of Visual Arts,Flexible,Undergraduate,-,3,In Person
HVART,Bachelor of Visual Arts (Honours),Single,Undergraduate,-,1,In Person
EADST,Diploma of Advanced Studies,Single,Undergraduate,-,1,In Person
ECOMP,Diploma of Computing,Single,Undergraduate,70,1,In Person
EDESN,Diploma of Creative Design,Single,Undergraduate,70,1,In Person
ELIBS,Diploma of Liberal Studies,Single,Undergraduate,70,1,In Person
EMUSI,Diploma of Music,Single,Undergraduate,70,1,In Person
ESCIE,Diploma of Science,Single,Undergraduate,70,1,In Person
9031XSJD,"Doctor of Juridical Science (SJD), ANU College of Law",Single,Research,-,4,In Person
9300XLLD,Doctor of Laws,Single,Research,-,,In Person
9101XLITTD,Doctor of Letters,Single,Research,-,,In Person
9911XMD,Doctor of Medicine,Single,Research,-,,In Person
8950XMCHD,Doctor of Medicine and Surgery,Single,Postgraduate,-,4,In Person
9000XPHD,Doctor of Philosophy,Single,Research,-,4,In Person
9064XCLPSY,Doctor of Philosophy (Clinical Psychology),Single,Research,-,4,In Person
9040XPHD,"Doctor of Philosophy, ANU College of Business and Economics",Single,Research,-,4,In Person
9070XPHD,"Doctor of Philosophy, ANU College of Engineering and Computer Science",Single,Research,-,4,In Person
9030XPHD,"Doctor of Philosophy, ANU College of Law",Single,Research,-,4,In Person
9062XPHD,"Doctor of Philosophy, ANU Colleges of Science (Joint Degree ANU-NUS)",Single,Research,-,4,In Person
9072XNTNU,"Doctor of Philosophy, ANU/NTNU",Single,Research,-,4,In Person
9513XPHD,"Doctor of Philosophy, Australian Centre on China in the World",Single,Research,-,4,In Person
9603XPHD,"Doctor of Philosophy, Australian National Centre for the Public Awareness of Science",Single,Research,-,4,In Person
9540XPHD,"Doctor of Philosophy, Crawford School of Public Policy",Single,Research,-,4,In Person
9050XPHD,"Doctor of Philosophy, Culture History and Languages",Single,Research,-,4,In Person
9561XPHD,"Doctor of Philosophy, Diplomacy",Single,Research,-,3,In Person
9065XPHD,"Doctor of Philosophy, Fenner School of Environment and Society",Single,Research,-,4,In Person
9510XPHD,"Doctor of Philosophy, International, Political and Strategic Studies",Single,Research,-,4,In Person
9710XPHD,"Doctor of Philosophy, John Curtin School of Medical Research",Single,Research,-,4,In Person
9650XPHD,"Doctor of Philosophy, Mathematical Sciences Institute",Single,Research,-,4,In Person
9910XPHD,"Doctor of Philosophy, Medical School",Single,Research,-,4,In Person
9350XPHD,"Doctor of Philosophy, National Centre for Indigenous Studies",Single,Research,-,4,In Person
9850XPHD,"Doctor of Philosophy, National Security College",Single,Research,-,4,In Person
9723XPHD,"Doctor of Philosophy, Psychology",Single,Research,-,4,In Person
9560XPHD,"Doctor of Philosophy, Regulation and Governance",Single,Research,-,4,In Person
9670XPHD,"Doctor of Philosophy, Research School of Astronomy and Astrophysics",Single,Research,-,4,In Person
9066XPHD,"Doctor of Philosophy, Research School of Biology",Single,Research,-,4,In Person
9620XPHD,"Doctor of Philosophy, Research School of Chemistry",Single,Research,-,4,In Person
9640XPHD,"Doctor of Philosophy, Research School of Earth Sciences",Single,Research,-,4,In Person
9552XPHD,"Doctor of Philosophy, Research School of Humanities and the Arts",Single,Research,-,4,In Person
9680XPHD,"Doctor of Philosophy, Research School of Physics and Engineering",Single,Research,-,4,In Person
9602XPHD,"Doctor of Philosophy, Research School of Population Health",Single,Research,-,4,In Person
9520XPHD,"Doctor of Philosophy, Research School of Social Sciences",Single,Research,-,4,In Person
9060XPHD,"Doctor of Philosophy, Science",Single,Research,-,4,In Person
9063XDPSYC,Doctor of Psychology (Clinical),Single,Research,-,3,In Person
9600XDSCI,Doctor of Science,Single,Research,-,,In Person
MEMPA,Executive Master of Public Administration,Single,Postgraduate,-,1.5,In Person
MEMPP,Executive Master of Public Policy,Single,Postgraduate,-,1,In Person
4750FDD,Flexible Double Degree,Single,Undergraduate,-,5,In Person
4050FDD,"Flexible Double Degree - Arts, Social  Sciences, Business, Science",Flexible,Undergraduate,-,4,In Person
4350FDD,Flexible Double Degree – Law (Honours),Single,Undergraduate,98,5,In Person
7050FDM,Flexible Double Masters,Single,Postgraduate,-,3,In Person
5036XGSPP,Global Summer Program (Postgraduate),Single,Non-award,-,,In Person
1305XGSPU,Global Summer Program (Undergraduate),Single,Non-award,-,,In Person
5082XCRWFD,Graduate Bridging Program (Crawford School of Public Policy),Single,Non-award,-,,In Person
6459XGCACC,Graduate Certificate of Accounting,Single,Postgraduate,-,0.5,In Person
CADAN,Graduate Certificate of Applied Data Analytics,Single,Postgraduate,-,0.5,In Person
CARTS,Graduate Certificate of Arts,Single,Postgraduate,-,0.5,In Person
CCSRM,"Graduate Certificate of Cyber Security, Strategy and Risk Management",Single,Postgraduate,-,0.5,In Person
CECON,Graduate Certificate of Economics,Single,Postgraduate,-,0.5,In Person
6659XGCENV,Graduate Certificate of Environment,Single,Postgraduate,-,0.5,In Person
CFAS,Graduate Certificate of Finance and Actuarial Statistics,Single,Postgraduate,-,0.5,In Person
CLAW,Graduate Certificate of Law,Single,Postgraduate,-,0.5,In Person
CMGMT,Graduate Certificate of Management,Single,Postgraduate,-,0.5,In Person
6829XGCMDS,Graduate Certificate of Military and Defence Studies,Single,Postgraduate,-,0.5,In Person
CMILL,Graduate Certificate of Military Law,Single,Postgraduate,-,0.5,In Person
CPUBH,Graduate Certificate of Public Health,Single,Postgraduate,-,0.5,In Person
6192XGCPPP,Graduate Certificate of Public Policy,Single,Postgraduate,-,0.5,In Person
CSCIE,Graduate Certificate of Science,Single,Postgraduate,-,0.5,In Person
CSTUD,Graduate Certificate of Studies,Single,Postgraduate,-,0.5,In Person
CSTOL,Graduate Certificate of Studies - Online,Single,Postgraduate,-,0.5,In Person
6506XGCTA,Graduate Certificate of Teaching Asia,Single,Postgraduate,-,0.5,In Person
DADAN,Graduate Diploma of Applied Data Analytics,Single,Postgraduate,-,1,In Person
DBUSI,Graduate Diploma of Business,Single,Postgraduate,-,1,In Person
6706XGDCP,Graduate Diploma of Computing,Single,Postgraduate,-,1,In Person
DCSRM,"Graduate Diploma of Cyber Security, Strategy and Risk Management",Single,Postgraduate,-,1,In Person
DECON,Graduate Diploma of Economics,Single,Postgraduate,-,1,In Person
DENVI,Graduate Diploma of Environment,Single,Postgraduate,-,1,In Person
DIAFF,Graduate Diploma of International Affairs,Single,Postgraduate,-,1,In Person
6303XGDLP,Graduate Diploma of Legal Practice,Single,Postgraduate,-,0.5,Multi-Modal
6828XGDMDS,Graduate Diploma of Military and Defence Studies,Single,Postgraduate,-,1,In Person
DMILL,Graduate Diploma of Military Law,Single,Postgraduate,-,1,In Person
DPUBH,Graduate Diploma of Public Health,Single,Postgraduate,-,1,In Person
DPUBP,Graduate Diploma of Public Policy,Single,Postgraduate,-,1,In Person
6600XGDSCI,Graduate Diploma of Science,Single,Postgraduate,-,1,In Person
DSTUD,Graduate Diploma of Studies,Single,Postgraduate,-,1,In Person
5031XNAWD,Graduate Exchange Program,Single,Non-award,-,,In Person
5034XNAWD,Graduate Exchange Program,Single,Non-award,-,,In Person
5050XNAWD,Graduate Non-Award,Single,Non-award,-,,In Person
5170XADA,Graduate Non-Award - Applied Data Analytics,Single,Non-award,-,,In Person
5110XNAWD,Graduate Non-Award (ANU College of Arts and Social Sciences),Single,Non-award,-,,In Person
5140XNAWD,Graduate Non-Award (ANU College of Business & Economics),Single,Non-award,-,,In Person
5130XNAWD,Graduate Non-Award (ANU College of Law),Single,Non-award,-,,In Person
5160XNAWD,Graduate Non-Award (ANU Colleges of Science),Single,Non-award,-,,In Person
5132XNAWD,Graduate Non-Award (ANU School of Legal Practice),Single,Non-award,-,,In Person
5170XNAWD,Graduate Non-Award (College of Engineering and Computer Science),Single,Non-award,-,,In Person
5092XNAWD,Graduate Non-Award (Research),Single,Non-award,-,,In Person
5150XNAWD,"Graduate Non-Award (School of Culture, History and Language)",Single,Non-award,-,,In Person
5191XCMHS,Graduate Non-Award Cross Institutional (ANU College of Medicine Biology and Environment),Single,Non-award,-,,In Person
5051XNAWD,Graduate Non-Award Cross-Institutional,Single,Non-award,-,,In Person
5111XARTS,Graduate Non-Award Cross-Institutional (ANU College of Arts and Social Sciences),Single,Non-award,-,,In Person
5151XCAP,Graduate Non-Award Cross-Institutional (ANU College of Asia and the Pacific),Single,Non-award,-,,In Person
5141XCBE,Graduate Non-Award Cross-Institutional (ANU College of Business and Economics),Single,Non-award,-,,In Person
5172XCECS,Graduate Non-Award Cross-Institutional (ANU College of Engineering and Computer Science),Single,Non-award,-,,In Person
5133XCOL,Graduate Non-Award Cross-Institutional (ANU College of Law),Single,Non-award,-,,In Person
5131XNAWD,Graduate Non-Award Cross-Institutional (ANU College of Law),Single,Non-award,-,,In Person
5162XCOS,Graduate Non-Award Cross-Institutional (ANU Colleges of Science),Single,Non-award,-,,In Person
5003XNAWD,Graduate Non-Award MOOC Exchange,Single,Non-award,-,1,In Person
5179XNSC,"Graduate Non-Award, National Security College",Single,Non-award,-,,In Person
5035XJOINT,Joint Degree Program National University Singapore -The Australian National University,Single,Non-award,-,,In Person
5171XPHD,"Joint Doctor of Philosophy, The Australian National University - National University Singapore",Single,Non-award,-,,In Person
5155SMAPS,Joint Postgraduate Program  National University  Singapore - The Australian National University (Asia-Pacific Studies),Single,Non-award,-,,In Person
MJD,Juris Doctor,Vertical,Postgraduate,-,3,In Person
MJDOL,Juris Doctor - online,Single,Postgraduate,-,3,Multi-Modal
7330HJD,Juris Doctor (Honours),Single,Postgraduate,-,3,In Person
7414XMACCT,Master of Accounting,Single,Postgraduate,-,2,In Person
7420XMACTP,Master of Actuarial Practice,Single,Postgraduate,-,2.5,In Person
7410XMACTS,Master of Actuarial Studies,Single,Postgraduate,-,2,In Person
MANTH,Master of Anthropology,Single,Postgraduate,-,2,In Person
VANTH,Master of Anthropology (Advanced),Single,Postgraduate,-,2,In Person
MAAPD,Master of Applied Anthropology and Participatory Development,Single,Postgraduate,-,2,In Person
MAAPO,Master of Applied Anthropology and Participatory Development - Online,Single,Postgraduate,-,1.5,In Person
VAAPD,Master of Applied Anthropology and Participatory Development (Advanced),Single,Postgraduate,-,2,In Person
VAAPO,Master of Applied Anthropology and Participatory Development (Advanced) - Online,Single,Postgraduate,-,1.5,In Person
MADAN,Master of Applied Data Analytics,Single,Postgraduate,-,1.5,In Person
MAPEC,Master of Applied Economics,Single,Postgraduate,-,2,In Person
7421XMAPFN,Master of Applied Finance,Single,Postgraduate,-,1.5,In Person
MAESC,Master of Archaeological and Evolutionary Science,Vertical,Postgraduate,-,2,In Person
VAESC,Master of Archaeological and Evolutionary Science (Advanced),Single,Postgraduate,-,2,In Person
VARSC,Master of Archaeological Science (Advanced),Single,Postgraduate,-,2,In Person
MAHCS,Master of Art History and Curatorial Studies,Vertical,Postgraduate,-,2,In Person
VAHCS,Master of Art History and Curatorial Studies (Advanced),Single,Postgraduate,-,2,In Person
MMUAU,Master of Arts - Arts Administration / Master of Museum and Heritage Studies,Single,Postgraduate,-,2,In Person
MANPS,Master of Asian and Pacific Studies,Vertical,Postgraduate,-,2,In Person
VANPS,Master of Asian and Pacific Studies (Advanced),Single,Postgraduate,-,2,In Person
VASTP,Master of Astronomy and Astrophysics (Advanced),Single,Postgraduate,-,2,In Person
VBIAN,Master of Biological Anthropology (Advanced),Single,Postgraduate,-,2,In Person
MBIOS,Master of Biological Sciences,Single,Postgraduate,-,2,In Person
VBIOS,Master of Biological Sciences (Advanced),Single,Postgraduate,-,2,In Person
MBIOT,Master of Biotechnology,Single,Postgraduate,-,2,In Person
VBIOT,Master of Biotechnology (Advanced),Single,Postgraduate,-,2,In Person
MBADM,Master of Business Administration,Single,Postgraduate,-,1.5,In Person
VBADM,Master of Business Administration (Advanced),Single,Postgraduate,-,2,In Person
MBINS,Master of Business Information Systems,Single,Postgraduate,-,2,In Person
VBINS,Master of Business Information Systems (Advanced),Single,Postgraduate,-,2,In Person
VCLAS,Master of Classical Studies (Advanced),Single,Postgraduate,-,2,In Person
MCLCH,Master of Climate Change,Single,Postgraduate,-,2,In Person
7601XMCPSY,Master of Clinical Psychology,Single,Postgraduate,-,2,In Person
VCOMM,Master of Commerce (Advanced),Single,Postgraduate,-,2,In Person
7706XMCOMP,Master of Computing,Single,Postgraduate,-,2,In Person
VCOMP,Master of Computing (Advanced),Single,Postgraduate,-,2,In Person
MCRJR,"Master of Criminology, Justice and Regulation",Vertical,Postgraduate,-,2,In Person
VCRJR,"Master of Criminology, Justice and Regulation (Advanced)",Single,Postgraduate,-,2,In Person
VCHAM,Master of Culture Health and Medicine (Advanced),Single,Postgraduate,-,2,Multi-Modal
MCHAM,"Master of Culture, Health and Medicine",Vertical,Postgraduate,-,2,Multi-Modal
MCSRM,"Master of Cyber Security, Strategy and Risk Management",Single,Postgraduate,-,1.5,In Person
MDEMO,Master of Demography,Vertical,Postgraduate,-,2,In Person
VDEMO,Master of Demography (Advanced),Single,Postgraduate,-,2,In Person
MDESN,Master of Design,Single,Postgraduate,-,2,In Person
VDESN,Master of Design (Advanced),Single,Postgraduate,-,2,In Person
MDIGA,Master of Digital Arts,Single,Postgraduate,-,2,In Person
VDIGA,Master of Digital Arts (Advanced),Single,Postgraduate,-,2,In Person
MDHPC,Master of Digital Humanities and Public Culture,Single,Postgraduate,-,2,In Person
VDHPC,Master of Digital Humanities and Public Culture (Advanced),Single,Postgraduate,-,2,In Person
MDIPL,Master of Diplomacy,Vertical,Postgraduate,-,2,In Person
VDIPL,Master of Diplomacy (Advanced),Single,Postgraduate,-,2,In Person
VEASC,Master of Earth Sciences (Advanced),Single,Postgraduate,-,2,In Person
MECPO,Master of Economic Policy,Single,Postgraduate,-,2,In Person
MECON,Master of Economics,Single,Postgraduate,-,2,In Person
MENCH,Master of Energy Change,Single,Postgraduate,-,2,In Person
VENCH,Master of Energy Change (Advanced),Single,Postgraduate,-,2,In Person
NDSTE,Master of Engineering in Digital Systems and Telecommunications,Single,Postgraduate,-,2,In Person
NMECH,Master of Engineering in Mechatronics,Single,Postgraduate,-,2,In Person
NENPH,Master of Engineering in Photonics,Single,Postgraduate,-,2,In Person
NENRE,Master of Engineering in Renewable Energy,Single,Postgraduate,-,2,In Person
MEINV,Master of Entrepreneurship and Innovation,Vertical,Postgraduate,-,2,In Person
VEINV,Master of Entrepreneurship and Innovation (Advanced),Single,Postgraduate,-,2,In Person
MENVI,Master of Environment,Vertical,Postgraduate,-,2,In Person
VENVI,Master of Environment (Advanced),Single,Postgraduate,-,2,In Person
MEREC,Master of Environmental and Resource Economics,Vertical,Postgraduate,-,2,In Person
MEMDV,Master of Environmental Management and Development,Vertical,Postgraduate,-,2,In Person
MEMOL,Master of Environmental Management and Development - Online,Single,Postgraduate,-,2,In Person
