"
                    Code
                ","
                    Title
                ","
                    Study As
                ","
                    Career
                ","
                    ATAR
                ","
                    Years
                ","
                    Delivery
                "
NSCQB,Master of Science in Quantitative Biology and Bioinformatics,Vertical,Postgraduate,-,2,In Person
MSCAU,Master of Science in Science Communication,Single,Postgraduate,-,1,In Person
MSRES,Master of Social Research,Single,Postgraduate,-,2,In Person
VSRES,Master of Social Research (Advanced),Single,Postgraduate,-,2,In Person
MSTAT,Master of Statistics,Single,Postgraduate,-,2,In Person
MSTST,Master of Strategic Studies,Vertical,Postgraduate,-,2,In Person
VSTST,Master of Strategic Studies (Advanced),Single,Postgraduate,-,2,In Person
MSTUD,Master of Studies,Single,Postgraduate,-,2,In Person
VSTUD,Master of Studies (Advanced),Single,Postgraduate,-,2,In Person
MTRAN,Master of Translation,Vertical,Postgraduate,-,2,In Person
VTRAN,Master of Translation (Advanced),Single,Postgraduate,-,2,In Person
MVISA,Master of Visual Arts,Single,Postgraduate,-,2,In Person
VVISA,Master of Visual Arts (Advanced),Single,Postgraduate,-,2,In Person
